message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=8.063297])";"30";"turtlesim3.sim";"1696501496.919665754";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=8.031300])";"30";"turtlesim3.sim";"1696501496.903855455";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.999303])";"30";"turtlesim3.sim";"1696501496.887039456";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.967305])";"30";"turtlesim3.sim";"1696501496.871380557";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.935308])";"30";"turtlesim3.sim";"1696501496.855708758";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.903311])";"30";"turtlesim3.sim";"1696501496.839236559";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.871314])";"30";"turtlesim3.sim";"1696501496.823713160";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=8.063297])";"30";"turtlesim2.sim";"1696501496.807933861";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.839317])";"30";"turtlesim3.sim";"1696501496.807857161";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=8.063297])";"30";"turtlesim1.sim";"1696501496.792663462";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=8.031300])";"30";"turtlesim2.sim";"1696501496.792450162";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.807319])";"30";"turtlesim3.sim";"1696501496.791383062";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=8.031300])";"30";"turtlesim1.sim";"1696501496.776954863";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.775322])";"30";"turtlesim3.sim";"1696501496.775754663";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.000423, y=7.999303])";"30";"turtlesim2.sim";"1696501496.775754963";"./src/turtle.cpp:update:260"
